Name,Licenses,Version,Repos
python3-twisted-bin:amd64,unknown,17.9.0-2,NULL
python3-update-manager,GPL|LGPL,1:18.04.11.10,bionic-updates|now
python3-urllib3,Expat|PSF-2,1.22-1ubuntu0.18.04.1,bionic-updates|bionic-security|now
python3-yaml,unknown,3.12-1build2,bionic|now
python3-zope.interface,Zope-2.1,4.3.2-1build2,bionic|now
python3.6,GPL-2,3.6.9-1~18.04,bionic-updates|now
python3.6-minimal,GPL-2,3.6.9-1~18.04,bionic-updates|now
readline-common,GFDL|GPL-3,7.0-3,bionic|now
rsync,GPL-3,3.1.2-2.1ubuntu1,bionic|now
rsyslog,Apache-2.0|BSD-3-clause|GPL-3.0+|LGPL-3.0+,8.32.0-1ubuntu4,bionic|now
run-one,GPL-3,1.17-0ubuntu1,bionic|now
screen,GPL-3+,4.6.2-1ubuntu1,bionic-updates|now
sed,GPL-3,4.4-2,bionic|now
sensible-utils,All-permissive|GPL-2+|configure|installsh,0.0.12,bionic|now
shared-mime-info,GPL,1.9-2,bionic|now
snapd,GPL-3,2.42.1+18.04,bionic-updates|now
software-properties-common,GPL-2|LGPL-2.1,0.96.24.32.12,bionic-updates|now
sosreport,GPL-2|GPL-2+,3.6-1ubuntu0.18.04.4,bionic-updates|now
squashfs-tools,GPL-2+,1:4.3-6ubuntu0.18.04.1,bionic-updates|now
ssh-import-id,GPL-3,5.7-0ubuntu1.1,bionic-updates|now
stoken,BSD-3-clause|LGPL-2.1+,0.92-1,bionic|now
strace,unknown,4.21-1ubuntu1,bionic|now
sudo,unknown,1.8.21p2-3ubuntu1.2,bionic-updates|bionic-security|now
systemd,CC0-1.0|Expat|GPL-2|GPL-2+|LGPL-2.1+|public-domain,237-3ubuntu10.39,bionic-updates|now
